id,user_id,created_at,tweet_text,President Obama,Fight climate Change,Judge Garland nomination,White House twitter handle,President Obama live speech
6.16679E+17,813286,7/2/2015 18:43,"""It's been a remarkable few weeks in America."" --President Obama",0.0429,0,0,0,0
6.88143E+17,813286,1/15/2016 23:37,President Obama announced a pause on new coal leases on federal lands--a step forward in the fight to #ActOnClimate: https://t.co/boMQbHvImy,0.0392,0,0,0,0
6.14096E+17,813286,6/25/2015 15:42,"""The Affordable Care Act is here to stay."" --President Obama #ACAWorks",0.0344,0,0,0,0
7.60541E+17,813286,8/2/2016 18:21,It has been a record-breaking 139 days since Judge Garland was nominated and still no hearing or vote. #DoYourJob https://t.co/IX6RxQ300I,0,0,0.1491,0,0
7.15304E+17,813286,3/30/2016 22:24,Enjoy the tunes of James Taylor in Chicago this summer--enter before tomorrow's deadline: https://t.co/Uid4X7idZA https://t.co/hhhBdEhfzq,0,0,0,0,0.0203
5.34433E+17,813286,11/17/2014 19:48,RT @Pharrell: Keep those you love healthy. Today is the day to #GetCovered at http://t.co/up7RpXH3TY,0,0,0,0.0313,0
6.32248E+17,813286,8/14/2015 17:51,"Studies show that #Obamacare is not ""killing"" full-time jobs like critics claim: http://t.co/9LlBJTkWgh",0,0,0,0,0
6.37368E+17,813286,8/28/2015 20:55,Read @AmbassadorPower's thoughts on why it's vital for Congress to stand by the #IranDeal. http://t.co/t2uK3IWvGc,0,0,0,0,0
7.42399E+17,813286,6/13/2016 16:52,#OrlandoUnited https://t.co/ixCxMZzGH2,0,0,0,0,0
6.85313E+17,813286,1/8/2016 4:10,RT @PolitiFact: Obama: The NRA used to support more background checks. We've looked at this before. https://t.co/Qq8MKRV5Al https://t.co/ff...,0.0161,0,0,0.036,0
5.82643E+17,813286,3/30/2015 20:37,Another nation commits to #ActOnClimate--Mexico announced it would cut carbon pollution 25 percent by 2030: http://t.co/Jbt77AReBo,0.0002,0,0,0,0
5.04299E+17,813286,8/26/2014 16:05,LIVE: President Obama is speaking at the #ALConvention in Charlotte. Tune in: http://t.co/0G9gzexSPS h/t @AmericanLegion,0.0364,0,0,0,0.016
7.65259E+17,813286,8/15/2016 18:50,Judge Garland deserves a fair hearing and an up-or-down vote. Add your voice and show your support: https://t.co/OVDjQVdx3v #DoYourJob,0,0,0.1817,0,0
5.37359E+17,813286,11/25/2014 21:36,President Obama is at the @CopernicusCtr in Chicago speaking about #ImmigrationAction at 5:35 p.m. ET. Tune in: http://t.co/hXSvHoUYEb,0.0282,0,0,0,0.1558
5.22771E+17,813286,10/16/2014 15:27,"Last spring, volunteers across the country helped millions get health insurance. It's about time to do that again: http://t.co/2CT6GyNudp",0,0,0,0,0
5.5773E+17,813286,1/21/2015 2:43,"""Let's pass a bipartisan infrastructure plan that could create more than 30 times as many jobs per year."" --President Obama #SOTU",0.0314,0,0,0,0
5.47423E+17,813286,12/23/2014 16:05,Only a few hours left to make sure your name is on @OFA's holiday card for President Obama: http://t.co/Y17OyoMSOy,0.0326,0,0,0,0
7.41326E+17,813286,6/10/2016 17:47,This is how you Slow Jam the News: https://t.co/bToPKW4UCM #POTUSonFallon,0,0,0,0.0035,0
6.29311E+17,813286,8/6/2015 15:21,Find out how you can support the Clean Power Plan. Read President Obama's message: http://t.co/kQLsS3m0P1 #ActOnClimate,0.013,0,0,0,0
6.60576E+17,813286,10/31/2015 21:56,Make sure you #GetCovered tomorrow--before you eat too much Halloween candy. https://t.co/h5gKMcxpS4,0,0,0,0,0
7.4494E+17,813286,6/20/2016 17:09,Join @vj44 on a conference call to discuss efforts we can take to help reduce gun violence. https://t.co/AzL9CkYA7z,0,0,0,0,0
6.87098E+17,813286,1/13/2016 2:24,"""Our auto industry just had its best year ever."" --President Obama #SOTU",0.0357,0,0,0,0
6.7324E+17,813286,12/5/2015 20:39,"""Here in America it's way too easy for dangerous people to get their hands on a gun."" --President Obama https://t.co/HlgAJbKSNt",0.0371,0,0,0,0
7.27888E+17,813286,5/4/2016 15:51,Make your voice heard on a fair #SCOTUS nomination process--add your name today: https://t.co/kHWdaefQAP #DoYourJob,0,0,0.0274,0,0
6.75403E+17,813286,12/11/2015 19:52,8 out of 10 uninsured Americans may qualify for financial help. See if you're one of them: https://t.co/RoQyvfMQmi #GetCovered,0,0,0,0,0
5.19234E+17,813286,10/6/2014 21:14,These businesses wanted their employees to be fairly compensated. So they took action. #RaiseTheWage http://t.co/CBlpl1LkOl,0,0.0045,0,0,0
5.97783E+17,813286,5/11/2015 15:18,It's time to give American workers the security of paid leave. #LeadOnLeave http://t.co/u0vythSZ0g,0,0,0.0102,0,0
7.60578E+17,813286,8/2/2016 20:46,"Step 1: Sign President Obama's birthday card. 
Step 2: Celebrate. https://t.co/h7pKIzy7cc https://t.co/9tW6bxDIiT",0.0177,0,0,0,0.0024
